client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,packet_size,cpu,perceived_position_error,bandwidth
1,1,19,1765628412436.9343,1765628412437.4685,0.5342960357666016,0,68.0,12.8,0.0,0
2,1,19,1765628412436.991,1765628412437.6028,0.6117820739746094,0,68.0,12.8,0.0,0
3,1,19,1765628412437.0208,1765628412437.7456,0.72479248046875,0,68.0,12.8,0.0,0
4,1,19,1765628412437.0464,1765628412437.9727,0.9262561798095703,0,68.0,12.8,0.0,0
1,2,20,1765628412478.6692,1765628412479.1555,0.4863739013671875,0.04792213439941406,68.0,9.2,0.0,26.099256222547584
2,2,20,1765628412478.7173,1765628412479.381,0.66375732421875,0.051975250244140625,68.0,9.2,0.0,26.042215001986865
3,2,20,1765628412478.7463,1765628412479.426,0.6794929504394531,0.045299530029296875,68.0,9.2,0.0,26.103383844004615
4,2,20,1765628412478.7722,1765628412479.5964,0.8242130279541016,0.10204315185546875,68.0,9.2,0.0,26.138904692916338
1,3,21,1765628412519.0889,1765628412519.7637,0.6749629974365234,0.18858909606933594,57.0,12.7,0.0,18.761733826587676
2,3,21,1765628412519.1577,1765628412519.962,0.8041858673095703,0.1404285430908203,57.0,12.7,0.0,18.747162383686632
3,3,21,1765628412519.1975,1765628412520.0757,0.8783340454101562,0.19884109497070312,57.0,12.7,0.0,18.753777904300996
4,3,21,1765628412519.429,1765628412520.2917,0.8628368377685547,0.038623809814453125,57.0,12.7,0.0,18.756280788542586
1,4,22,1765628412560.5454,1765628412561.4023,0.8568763732910156,0.1819133758544922,57.0,12.7,0.0,16.137642745841976
2,4,22,1765628412560.6216,1765628412561.7131,1.0917186737060547,0.2875328063964844,57.0,12.7,0.0,16.114691279339674
3,4,22,1765628412560.6543,1765628412561.6917,1.0373592376708984,0.1590251922607422,57.0,12.7,0.0,16.136053403403306
4,4,22,1765628412560.681,1765628412560.8872,0.20623207092285156,0.6566047668457031,57.0,12.7,0.0,16.271466537427152
1,5,23,1765628412602.5286,1765628412603.0706,0.5419254302978516,0.31495094299316406,68.0,12.3,0.0,15.36212859682798
2,5,23,1765628412602.6016,1765628412603.5046,0.9031295776367188,0.18858909606933594,68.0,12.3,0.0,15.334367375289537
3,5,23,1765628412602.646,1765628412603.5205,0.8745193481445312,0.1628398895263672,68.0,12.3,0.0,15.346110684021241
4,5,23,1765628412602.6777,1765628412603.6409,0.9629726409912109,0.7567405700683594,68.0,12.3,0.0,15.355993498158647
1,6,24,1765628412642.7397,1765628412643.7449,1.0051727294921875,0.46324729919433594,79.0,11.3,0.0,15.396819535381367
2,6,24,1765628412642.8008,1765628412643.1865,0.3857612609863281,0.5173683166503906,79.0,11.3,0.0,15.448692568678887
3,6,24,1765628412642.8345,1765628412643.0852,0.25081634521484375,0.6237030029296875,79.0,11.3,0.0,15.467060450306812
4,6,24,1765628412642.8782,1765628412643.2327,0.35452842712402344,0.6084442138671875,79.0,11.3,0.0,15.473057823715871
1,7,25,1765628412683.1,1765628412683.2349,0.13494491577148438,0.8702278137207031,66.0,10.9,0.0,15.07122471462531
2,7,25,1765628412683.1467,1765628412683.771,0.6241798400878906,0.2384185791015625,66.0,10.9,0.0,15.046621805901985
3,7,25,1765628412683.1777,1765628412683.836,0.6582736968994141,0.4074573516845703,66.0,10.9,0.0,15.051383650169743
4,7,25,1765628412683.205,1765628412683.846,0.640869140625,0.28634071350097656,66.0,10.9,0.0,15.064670036749192
1,8,26,1765628412723.958,1765628412725.0508,1.092672348022461,0.9577274322509766,79.0,13.4,0.0,15.077424344425891
2,8,26,1765628412724.0105,1765628412724.5337,0.5233287811279297,0.10085105895996094,79.0,13.4,0.0,15.111651885653412
3,8,26,1765628412724.0393,1765628412724.6057,0.5664825439453125,0.09179115295410156,79.0,13.4,0.0,15.115381636607975
4,8,26,1765628412724.065,1765628412724.5547,0.48995018005371094,0.15091896057128906,79.0,13.4,0.0,15.130048388196007
1,9,27,1765628412766.03,1765628412766.914,0.8840560913085938,0.2086162567138672,66.0,17.9,0.0,14.764199734846883
2,9,27,1765628412766.0876,1765628412766.487,0.39958953857421875,0.12373924255371094,66.0,17.9,0.0,14.789396560043354
3,9,27,1765628412766.113,1765628412766.4883,0.3752708435058594,0.19121170043945312,66.0,17.9,0.0,14.795766897135602
4,9,27,1765628412766.1348,1765628412766.394,0.2593994140625,0.23055076599121094,66.0,17.9,0.0,14.810241344499834
1,10,28,1765628412807.896,1765628412808.6829,0.7870197296142578,0.09703636169433594,68.0,16.4,0.0,14.568402111419053
2,10,28,1765628412807.9644,1765628412808.3127,0.3483295440673828,0.05125999450683594,68.0,16.4,0.0,14.588224137068071
3,10,28,1765628412807.9917,1765628412808.3406,0.34880638122558594,0.026464462280273438,68.0,16.4,0.0,14.592750651039522
4,10,28,1765628412808.0146,1765628412808.2734,0.2586841583251953,0.0007152557373046875,68.0,16.4,0.0,14.604344019325506
1,11,29,1765628412849.534,1765628412850.6143,1.0802745819091797,0.2932548522949219,58.0,21.9,0.0,14.212901796134721
2,11,29,1765628412849.6125,1765628412850.2085,0.5960464477539062,0.24771690368652344,58.0,21.9,0.0,14.231504355240402
3,11,29,1765628412849.6443,1765628412850.121,0.476837158203125,0.12803077697753906,58.0,21.9,0.0,14.239449644483123
4,11,29,1765628412849.671,1765628412850.0117,0.3409385681152344,0.08225440979003906,58.0,21.9,0.0,14.251076012969037
1,12,30,1765628412891.0376,1765628412891.6572,0.6194114685058594,0.4608631134033203,92.0,22.7,0.0,14.549018279824786
